Default_ID,Loan_ID,Customer_ID,Default_Date,Default_Amount,Default_Reason,Recovery_Status,Recovery_Amount,Legal_Action
D000062,L042001,C042001,2023-01-12,85360,Other,Full,0,Yes
D000063,L023265,C023265,2022-09-07,68073,Medical Emergency,None,25037,Yes
D000064,L086706,C086706,2024-09-26,46823,Medical Emergency,Partial,46010,No
D000065,L008634,C008634,2023-10-25,56295,Business Failure,None,0,Yes
D000066,L049174,C049174,2023-10-09,43129,Job Loss,Partial,0,No
D000067,L069315,C069315,2022-08-16,83234,Business Failure,Full,0,Yes
D000068,L011902,C011902,2024-03-27,67758,Other,None,0,Yes
D000069,L048162,C048162,2023-08-26,31493,Other,Partial,11293,Yes
D000070,L029656,C029656,2021-04-27,19944,Medical Emergency,None,43794,No
D000071,L010752,C010752,2024-03-05,56658,Business Failure,Partial,0,No
D000072,L018128,C018128,2023-12-10,42786,Job Loss,None,10551,Yes
D000073,L026325,C026325,2022-11-15,18493,Medical Emergency,None,0,No
D000074,L073773,C073773,2023-12-28,52245,Other,None,0,Yes
D000075,L069865,C069865,2024-07-21,23886,Other,None,17379,Yes
D000076,L059628,C059628,2023-06-16,89077,Other,Full,32819,No
D000077,L076644,C076644,2023-12-30,55424,Business Failure,None,0,Yes
D000078,L070826,C070826,2022-01-08,57094,Medical Emergency,Full,0,Yes
D000079,L001040,C001040,2023-02-18,36318,Other,Full,28575,Yes
D000080,L054901,C054901,2023-11-10,59497,Other,None,0,No
D000081,L073052,C073052,2024-04-21,69683,Job Loss,None,10141,Yes
D000082,L035937,C035937,2022-09-06,7559,Business Failure,Full,20781,Yes
D000083,L029616,C029616,2022-08-15,82410,Business Failure,None,0,Yes
D000084,L032217,C032217,2024-01-09,82931,Medical Emergency,Partial,28827,No
D000085,L033634,C033634,2022-10-28,69958,Medical Emergency,Partial,21364,No
D000086,L083503,C083503,2021-09-23,16097,Other,Partial,0,No
D000087,L046776,C046776,2021-08-09,35635,Other,None,18659,No
D000088,L076356,C076356,2024-03-01,58660,Job Loss,Partial,49958,No
D000089,L032177,C032177,2024-09-29,71778,Medical Emergency,None,0,Yes
D000090,L079937,C079937,2024-06-14,81561,Medical Emergency,Partial,0,No
D000091,L024565,C024565,2021-09-11,80830,Job Loss,None,0,No
D000092,L050149,C050149,2022-07-06,86915,Other,None,0,Yes
D000093,L057026,C057026,2022-01-22,16556,Medical Emergency,None,37144,No
D000094,L023444,C023444,2023-01-09,98533,Other,None,0,Yes
D000095,L002291,C002291,2023-06-05,34880,Medical Emergency,Full,22059,Yes
D000096,L059063,C059063,2023-05-17,69577,Medical Emergency,None,7981,Yes
D000097,L012005,C012005,2024-07-28,88161,Medical Emergency,Partial,3451,Yes
D000098,L063160,C063160,2023-05-17,18209,Other,None,0,No
D000099,L031773,C031773,2024-04-20,13505,Job Loss,None,17241,Yes
D000100,L014256,C014256,2024-12-17,14719,Medical Emergency,Full,44395,No
D000101,L067184,C067184,2022-05-26,32480,Job Loss,Full,36471,Yes
D000102,L041700,C041700,2021-09-12,95113,Other,Full,11932,Yes
D000103,L007525,C007525,2024-05-12,93559,Other,Partial,0,Yes
D000104,L008202,C008202,2021-06-24,34324,Medical Emergency,Partial,37746,No
D000105,L064741,C064741,2022-06-01,17057,Business Failure,Full,0,No
D000106,L064333,C064333,2024-11-26,45669,Medical Emergency,Partial,0,No
D000107,L067387,C067387,2023-05-11,90821,Medical Emergency,None,16276,Yes
D000108,L039294,C039294,2021-10-12,5464,Job Loss,Partial,49510,Yes
D000109,L087310,C087310,2022-08-06,48960,Job Loss,Full,0,No
D000110,L075239,C075239,2021-08-02,35590,Business Failure,Partial,0,Yes
D000111,L037955,C037955,2024-04-03,49466,Other,None,0,Yes
D000112,L040176,C040176,2022-07-27,74321,Other,Full,0,No
D000113,L063439,C063439,2021-02-27,21721,Other,Partial,0,Yes
D000114,L066017,C066017,2024-11-02,22315,Other,None,0,Yes
D000115,L087541,C087541,2023-12-05,62114,Medical Emergency,Partial,27081,No
D000116,L076891,C076891,2024-10-20,85324,Medical Emergency,Partial,40041,No
D000117,L041057,C041057,2024-07-09,84224,Business Failure,Full,31688,Yes
D000118,L079883,C079883,2021-01-20,7635,Job Loss,Partial,6534,Yes
D000119,L026601,C026601,2024-06-21,53473,Other,None,0,No
D000120,L060125,C060125,2024-01-05,55004,Business Failure,Full,41810,No
D000121,L008276,C008276,2024-10-05,67676,Other,Partial,46158,No
D000122,L000336,C000336,2022-12-16,64564,Medical Emergency,None,0,No
D000123,L083939,C083939,2021-09-25,34399,Medical Emergency,Partial,0,Yes
D000124,L036791,C036791,2023-01-19,7409,Other,Partial,21107,Yes
D000125,L012857,C012857,2023-05-25,19568,Medical Emergency,None,0,No
D000126,L067111,C067111,2024-09-01,6607,Job Loss,Partial,14934,No
D000127,L011418,C011418,2024-09-09,26864,Other,Partial,0,No
D000128,L082040,C082040,2023-06-28,85416,Business Failure,None,0,No
D000129,L011866,C011866,2023-04-14,90500,Business Failure,None,0,Yes
D000130,L030143,C030143,2022-11-05,45433,Business Failure,Full,0,Yes
D000131,L051316,C051316,2023-12-14,67446,Job Loss,Partial,0,No
D000132,L011112,C011112,2023-12-10,15111,Job Loss,Partial,37746,No
D000133,L055025,C055025,2023-04-24,38994,Medical Emergency,Partial,7054,Yes
D000134,L057883,C057883,2023-08-14,16915,Medical Emergency,Full,42264,Yes
D000135,L017553,C017553,2024-11-12,80313,Other,Full,11813,No
D000136,L000979,C000979,2022-11-03,88268,Other,Partial,15111,No
D000137,L061499,C061499,2024-04-24,32119,Business Failure,None,48377,Yes
D000138,L005677,C005677,2021-03-04,22940,Medical Emergency,None,0,No
D000139,L065362,C065362,2024-11-29,5728,Business Failure,Full,10465,No
D000140,L057640,C057640,2021-06-03,45162,Other,Full,8843,Yes
D000141,L036570,C036570,2023-03-16,56378,Business Failure,None,47430,Yes
D000142,L073326,C073326,2021-06-10,47613,Medical Emergency,Partial,0,No
D000143,L086763,C086763,2023-06-29,24111,Business Failure,Partial,0,No
D000144,L024657,C024657,2023-05-18,95684,Job Loss,Full,0,Yes
D000145,L058434,C058434,2022-11-27,74323,Other,None,0,Yes
D000146,L065768,C065768,2022-04-04,35495,Other,Full,0,Yes
D000147,L035504,C035504,2023-06-17,9713,Other,Partial,0,Yes
D000148,L069670,C069670,2021-05-30,14236,Other,Partial,0,No
D000149,L082090,C082090,2022-07-21,61287,Other,None,0,No
D000150,L075390,C075390,2021-03-29,92845,Other,Full,10998,Yes
D000151,L077325,C077325,2024-07-17,51142,Job Loss,None,0,Yes
D000152,L020905,C020905,2021-11-29,92941,Job Loss,Full,0,Yes
D000153,L047253,C047253,2022-03-19,35253,Other,Full,0,Yes
D000154,L073572,C073572,2021-10-05,62526,Other,None,32585,No
D000155,L017627,C017627,2024-03-28,11081,Job Loss,None,0,Yes
D000156,L064700,C064700,2021-01-26,75681,Job Loss,None,26144,Yes
D000157,L005556,C005556,2024-10-02,77667,Job Loss,Full,0,No
D000158,L000618,C000618,2023-10-06,70862,Other,Full,0,Yes
D000159,L021355,C021355,2021-12-09,55035,Job Loss,Full,0,No
D000160,L034597,C034597,2022-08-06,6874,Medical Emergency,None,23013,Yes
D000161,L002976,C002976,2022-04-02,93498,Medical Emergency,None,27849,No
D000162,L085945,C085945,2022-03-13,71126,Business Failure,Full,1658,Yes
D000163,L058177,C058177,2024-09-08,81704,Job Loss,Partial,8850,No
D000164,L064292,C064292,2022-09-17,62070,Job Loss,Full,0,Yes
D000165,L050512,C050512,2022-06-18,85416,Business Failure,None,0,No
D000166,L030982,C030982,2021-12-06,33769,Job Loss,None,21304,No
D000167,L072782,C072782,2021-06-11,90588,Job Loss,Partial,13615,Yes
D000168,L072425,C072425,2024-09-15,64306,Job Loss,None,47126,No
D000169,L072775,C072775,2021-03-27,91046,Medical Emergency,Full,32269,No
D000170,L033211,C033211,2022-06-24,59239,Medical Emergency,None,7542,Yes
D000171,L061578,C061578,2022-11-23,31308,Other,None,0,No
D000172,L018777,C018777,2024-02-04,92464,Job Loss,None,38804,Yes
D000173,L088753,C088753,2022-06-07,35502,Medical Emergency,Full,0,Yes
D000174,L077060,C077060,2022-04-10,41864,Business Failure,None,9040,Yes
D000175,L006580,C006580,2024-06-15,15517,Medical Emergency,Full,25325,Yes
D000176,L017050,C017050,2023-10-10,45392,Job Loss,None,0,No
D000177,L082962,C082962,2022-06-28,73011,Medical Emergency,Partial,0,No
D000178,L029552,C029552,2021-04-30,21673,Job Loss,Partial,40181,No
D000179,L078160,C078160,2023-01-05,29922,Job Loss,Full,9086,Yes
D000180,L064673,C064673,2022-01-01,77017,Other,Partial,47511,No
D000181,L081301,C081301,2023-08-25,17462,Job Loss,Partial,30191,Yes
D000182,L077149,C077149,2022-09-21,86008,Other,None,34600,No
D000183,L044605,C044605,2024-10-31,99481,Business Failure,Partial,8712,No
D000184,L050481,C050481,2023-07-03,22980,Job Loss,Full,0,No
D000185,L050231,C050231,2024-10-15,77725,Medical Emergency,Partial,0,Yes
D000186,L032842,C032842,2024-12-25,9830,Job Loss,None,0,Yes
D000187,L038263,C038263,2023-01-20,89457,Business Failure,None,34426,No
D000188,L061621,C061621,2024-05-23,13520,Business Failure,Partial,11060,No
D000189,L027305,C027305,2024-10-28,90306,Other,None,42159,Yes
D000190,L036532,C036532,2024-02-27,63329,Job Loss,None,0,No
D000191,L079451,C079451,2023-09-30,67069,Other,Full,4494,Yes
D000192,L018237,C018237,2023-02-07,21192,Medical Emergency,Full,0,Yes
D000193,L078470,C078470,2023-02-07,30410,Job Loss,None,3468,No
D000194,L067972,C067972,2023-03-29,76768,Medical Emergency,Full,0,Yes
D000195,L050814,C050814,2024-03-08,98575,Other,Full,0,Yes
D000196,L007983,C007983,2022-01-14,92479,Business Failure,None,0,Yes
D000197,L028233,C028233,2023-04-01,47330,Other,Full,15576,Yes
D000198,L076942,C076942,2022-05-28,81275,Business Failure,Partial,0,No
D000199,L081637,C081637,2022-10-28,36850,Business Failure,None,43592,Yes
D000200,L009763,C009763,2022-10-25,86441,Other,Partial,28359,Yes
D000201,L013181,C013181,2023-12-28,79727,Business Failure,Full,33183,No
D000202,L071044,C071044,2023-12-04,17629,Medical Emergency,Partial,0,Yes
D000203,L039116,C039116,2024-03-22,21860,Job Loss,Partial,0,Yes
D000204,L053180,C053180,2022-01-29,70139,Business Failure,Partial,9295,No
D000205,L035998,C035998,2022-01-16,83726,Other,None,12605,Yes
D000206,L067892,C067892,2021-04-06,33567,Other,Full,0,Yes
D000207,L084459,C084459,2024-07-17,33744,Other,None,30686,Yes
D000208,L022954,C022954,2021-06-24,51873,Other,None,26477,No
D000209,L012936,C012936,2021-01-16,32947,Other,None,4205,Yes
D000210,L052958,C052958,2021-07-09,88362,Medical Emergency,Partial,0,Yes
D000211,L068859,C068859,2021-08-05,21932,Job Loss,Partial,40970,Yes
D000212,L025300,C025300,2022-10-04,73889,Business Failure,None,0,Yes
D000213,L061828,C061828,2023-11-08,79499,Medical Emergency,None,0,No
D000214,L059599,C059599,2022-12-19,24120,Job Loss,None,3708,Yes
D000215,L003460,C003460,2023-08-09,32990,Medical Emergency,Full,0,No
D000216,L052071,C052071,2023-02-08,96679,Medical Emergency,Full,0,Yes
D000217,L017308,C017308,2021-03-02,59478,Other,Partial,20791,Yes
D000218,L020707,C020707,2024-03-26,84398,Medical Emergency,None,5844,No
D000219,L033741,C033741,2023-12-23,50221,Business Failure,Full,17579,Yes
D000220,L083503,C083503,2023-10-01,68515,Other,None,40701,Yes
D000221,L087153,C087153,2023-11-09,46929,Other,None,0,Yes
D000222,L061832,C061832,2022-04-22,95853,Job Loss,None,0,No
D000223,L021095,C021095,2022-12-19,21432,Other,Partial,12901,No
D000224,L079107,C079107,2024-06-18,56099,Job Loss,Partial,30321,No
D000225,L007138,C007138,2023-06-21,87541,Business Failure,None,14421,No
D000226,L069167,C069167,2022-03-06,87502,Job Loss,Partial,0,No
D000227,L019050,C019050,2023-12-03,92623,Medical Emergency,Full,0,Yes
D000228,L054601,C054601,2023-10-19,98352,Other,Full,48216,No
D000229,L003451,C003451,2021-06-23,85469,Other,None,25610,No
D000230,L072974,C072974,2023-05-19,17844,Medical Emergency,Full,50000,No
D000231,L085064,C085064,2024-06-07,36235,Other,Full,39147,No
D000232,L053327,C053327,2021-12-06,53751,Job Loss,None,0,Yes
D000233,L027576,C027576,2022-04-20,71362,Job Loss,None,37989,Yes
D000234,L072522,C072522,2022-06-16,81960,Other,None,4203,No
D000235,L032008,C032008,2023-06-14,72316,Other,None,0,Yes
D000236,L013963,C013963,2023-04-09,20016,Business Failure,Partial,41554,Yes
D000237,L013345,C013345,2023-04-09,62399,Business Failure,Full,14309,Yes
D000238,L071841,C071841,2021-06-27,70893,Other,Partial,2759,No
D000239,L077376,C077376,2023-06-12,90985,Business Failure,None,15070,No
D000240,L042132,C042132,2022-07-15,66942,Job Loss,Partial,0,Yes
D000241,L047514,C047514,2022-12-10,20400,Job Loss,None,0,No
D000242,L029339,C029339,2024-09-03,17821,Business Failure,Partial,20662,Yes
D000243,L044135,C044135,2024-04-03,89205,Other,Partial,43277,No
D000244,L070463,C070463,2024-07-03,67760,Business Failure,None,8215,Yes
D000245,L043546,C043546,2022-11-21,99163,Job Loss,Partial,25439,Yes
D000246,L089557,C089557,2022-11-04,28739,Business Failure,Full,23609,Yes
D000247,L026334,C026334,2021-09-12,89714,Job Loss,Full,29556,No
D000248,L008303,C008303,2021-06-03,18917,Job Loss,Full,0,Yes
D000249,L074672,C074672,2022-02-23,21810,Job Loss,Partial,6337,Yes
D000250,L047538,C047538,2024-03-08,52127,Job Loss,Full,22937,Yes
D000251,L009492,C009492,2023-11-25,23006,Other,Partial,42464,No
D000252,L073726,C073726,2021-03-27,92583,Medical Emergency,Partial,0,No
D000253,L038290,C038290,2021-03-10,47654,Other,Full,46413,Yes
D000254,L043665,C043665,2022-09-21,5753,Other,None,31076,No
D000255,L063012,C063012,2024-09-27,53051,Medical Emergency,Partial,43292,No
D000256,L042779,C042779,2024-11-15,93460,Business Failure,Full,0,No
D000257,L082964,C082964,2024-11-10,48805,Other,Full,16713,Yes
D000258,L073558,C073558,2022-01-20,94014,Business Failure,Partial,13347,Yes
D000259,L084970,C084970,2022-11-09,19035,Job Loss,Full,0,No
D000260,L039819,C039819,2022-05-28,39289,Medical Emergency,Full,0,Yes
D000261,L040977,C040977,2022-10-15,52879,Other,Full,1957,Yes
D000262,L038641,C038641,2023-07-12,45733,Medical Emergency,Full,36424,No
D000263,L039854,C039854,2022-11-23,51281,Medical Emergency,Full,0,No
D000264,L089902,C089902,2021-09-04,53481,Other,Partial,0,No
D000265,L089274,C089274,2021-02-19,5019,Medical Emergency,Partial,10225,Yes
D000266,L035087,C035087,2021-10-03,78345,Job Loss,Partial,0,No
D000267,L072588,C072588,2022-05-29,74891,Medical Emergency,Full,5142,Yes
D000268,L013659,C013659,2021-08-22,82407,Job Loss,None,35294,Yes
D000269,L068063,C068063,2021-09-12,48543,Other,Full,0,No
D000270,L035287,C035287,2024-08-25,71988,Other,None,0,No
D000271,L036351,C036351,2021-12-07,72874,Other,Partial,36496,No
D000272,L007890,C007890,2022-03-08,98071,Business Failure,None,0,No
D000273,L037871,C037871,2024-02-19,6721,Other,Partial,0,Yes
D000274,L006879,C006879,2024-03-01,74194,Medical Emergency,Partial,0,No
D000275,L001139,C001139,2024-10-07,84783,Medical Emergency,Full,12080,Yes
D000276,L010809,C010809,2023-07-17,52710,Other,None,0,Yes
D000277,L072737,C072737,2022-05-04,71673,Job Loss,Partial,0,Yes
D000278,L038021,C038021,2022-12-05,9480,Medical Emergency,None,0,No
D000279,L030322,C030322,2023-09-12,8958,Business Failure,Partial,0,No
D000280,L074582,C074582,2021-11-07,98257,Business Failure,Full,0,Yes
D000281,L002680,C002680,2022-01-08,32394,Other,Partial,12918,No
D000282,L024596,C024596,2023-12-25,33160,Other,Partial,1464,Yes
D000283,L075699,C075699,2024-03-20,37331,Business Failure,Full,16128,No
D000284,L063496,C063496,2023-10-05,43396,Medical Emergency,Partial,22198,No
D000285,L084529,C084529,2021-01-20,77581,Business Failure,Full,9579,Yes
D000286,L085884,C085884,2024-05-28,95292,Business Failure,None,0,No
D000287,L054788,C054788,2024-04-19,32831,Other,Partial,7632,No
D000288,L010422,C010422,2021-11-22,77947,Other,Full,24384,No
D000289,L029026,C029026,2022-01-12,79787,Job Loss,Full,0,Yes
D000290,L032309,C032309,2021-05-23,92222,Other,Partial,49902,Yes
D000291,L029409,C029409,2023-07-30,25678,Job Loss,Partial,0,No
D000292,L024931,C024931,2023-06-30,58064,Business Failure,Full,0,Yes
D000293,L049794,C049794,2022-08-08,57662,Business Failure,None,0,Yes
D000294,L018948,C018948,2024-03-22,15116,Business Failure,None,0,No
D000295,L084092,C084092,2023-04-25,45202,Other,Full,0,Yes
D000296,L018896,C018896,2021-11-07,69447,Other,Full,27071,No
D000297,L037697,C037697,2024-05-28,94560,Business Failure,Full,3019,Yes
D000298,L055797,C055797,2024-08-11,97622,Other,None,6968,Yes
D000299,L047273,C047273,2024-05-19,29269,Business Failure,None,0,Yes
D000300,L058731,C058731,2024-01-06,81699,Medical Emergency,None,0,Yes
D000301,L001195,C001195,2021-08-19,75396,Other,Full,0,Yes
D000302,L044531,C044531,2024-08-11,83247,Medical Emergency,Partial,0,No
D000303,L023685,C023685,2023-06-28,78569,Business Failure,None,0,No
D000304,L006773,C006773,2024-08-30,66176,Medical Emergency,Partial,0,Yes
D000305,L088720,C088720,2021-07-19,8600,Medical Emergency,Full,40836,No
D000306,L028437,C028437,2023-03-19,25663,Medical Emergency,None,0,Yes
D000307,L082941,C082941,2021-11-09,96676,Other,None,0,Yes
D000308,L004713,C004713,2024-03-03,49591,Other,Full,8853,Yes
D000309,L013390,C013390,2021-11-01,88062,Job Loss,Partial,49155,Yes
D000310,L089342,C089342,2024-03-07,47720,Job Loss,Full,0,Yes
D000311,L007878,C007878,2022-09-30,46179,Job Loss,None,7253,No
D000312,L048114,C048114,2023-08-20,49507,Other,None,14446,Yes
D000313,L067192,C067192,2023-08-30,26313,Job Loss,Partial,42787,No
D000314,L067749,C067749,2021-02-03,7071,Business Failure,Full,10516,No
D000315,L006400,C006400,2024-01-30,19939,Job Loss,Full,27655,No
D000316,L054901,C054901,2021-06-11,14287,Business Failure,Partial,31831,No
D000317,L066312,C066312,2022-10-04,75524,Business Failure,Full,13659,Yes
D000318,L017477,C017477,2023-06-12,24155,Business Failure,Partial,20012,Yes
D000319,L084332,C084332,2024-04-17,46813,Medical Emergency,Full,49314,No
D000320,L077712,C077712,2022-05-22,50076,Medical Emergency,None,0,Yes
D000321,L071880,C071880,2024-12-13,50548,Business Failure,Full,0,Yes
D000322,L069807,C069807,2023-03-25,25741,Job Loss,Partial,28000,Yes
D000323,L013354,C013354,2021-12-05,75319,Other,Partial,0,No
D000324,L027997,C027997,2023-12-25,52920,Business Failure,None,16907,No
D000325,L024670,C024670,2021-02-09,19978,Business Failure,Partial,13469,No
D000326,L034611,C034611,2021-06-13,53804,Business Failure,None,22063,Yes
D000327,L070785,C070785,2023-08-14,8649,Job Loss,Partial,0,Yes
D000328,L056005,C056005,2024-10-11,67263,Medical Emergency,None,0,No
D000329,L073514,C073514,2021-12-16,99190,Business Failure,None,23121,No
D000330,L061793,C061793,2021-09-09,11309,Medical Emergency,None,0,Yes
D000331,L067053,C067053,2024-05-15,66296,Job Loss,None,0,No
D000332,L077997,C077997,2021-10-07,31852,Job Loss,Partial,0,No
D000333,L002106,C002106,2023-07-03,83016,Other,None,0,Yes
D000334,L017291,C017291,2022-08-28,89926,Other,Partial,27340,No
D000335,L088630,C088630,2024-09-22,51258,Medical Emergency,Full,0,Yes
D000336,L036509,C036509,2021-01-28,18778,Business Failure,None,21040,No
D000337,L017961,C017961,2023-02-23,26394,Business Failure,Full,6447,No
D000338,L020244,C020244,2024-08-26,31366,Business Failure,Partial,42761,No
D000339,L057858,C057858,2021-01-14,75620,Job Loss,None,0,No
D000340,L083198,C083198,2023-06-15,76566,Business Failure,Full,14837,No
D000341,L038135,C038135,2021-05-10,70388,Other,Full,6094,Yes
D000342,L007636,C007636,2021-10-19,11054,Job Loss,Full,0,No
D000343,L063639,C063639,2025-01-02,81964,Other,None,0,No
D000344,L052282,C052282,2023-11-16,39869,Other,Partial,37077,Yes
D000345,L065070,C065070,2024-01-23,18995,Job Loss,Partial,34420,Yes
D000346,L006380,C006380,2024-12-19,88420,Business Failure,Full,11726,Yes
D000347,L014260,C014260,2023-11-03,49726,Job Loss,Full,37611,Yes
D000348,L030141,C030141,2021-02-10,66275,Business Failure,Partial,0,Yes
D000349,L025129,C025129,2022-05-05,91864,Medical Emergency,None,10425,No
D000350,L030880,C030880,2024-05-27,75581,Medical Emergency,None,22382,No
D000351,L061964,C061964,2022-04-18,36884,Medical Emergency,Full,0,Yes
D000352,L026351,C026351,2022-07-26,12667,Other,Full,0,No
D000353,L058274,C058274,2021-07-09,73675,Job Loss,Full,48208,Yes
D000354,L005834,C005834,2022-11-22,48270,Medical Emergency,Partial,0,No
D000355,L066918,C066918,2024-10-19,23142,Other,None,25558,No
D000356,L018814,C018814,2022-05-16,86523,Business Failure,Full,23616,Yes
D000357,L040716,C040716,2024-02-09,30566,Business Failure,Partial,26046,Yes
D000358,L088838,C088838,2021-11-27,70117,Medical Emergency,Partial,23658,Yes
D000359,L023727,C023727,2021-07-31,47305,Medical Emergency,Full,0,No
D000360,L015950,C015950,2021-01-09,8281,Medical Emergency,Partial,3100,No
D000361,L067194,C067194,2023-03-21,58123,Job Loss,None,24838,Yes
D000362,L011661,C011661,2021-07-29,57799,Job Loss,Full,44107,No
D000363,L080070,C080070,2022-06-29,97811,Job Loss,Full,0,Yes
D000364,L054555,C054555,2024-04-25,14467,Job Loss,Partial,0,No
D000365,L039803,C039803,2023-08-09,37198,Job Loss,Full,11557,Yes
D000366,L041917,C041917,2023-07-16,71632,Business Failure,None,0,No
D000367,L047792,C047792,2021-02-09,33917,Medical Emergency,Partial,32710,No
D000368,L019787,C019787,2024-01-28,92434,Job Loss,Partial,37730,Yes
D000369,L025422,C025422,2021-06-26,19632,Job Loss,Full,3750,No
D000370,L089434,C089434,2021-02-06,63527,Business Failure,Partial,5922,No
D000371,L076780,C076780,2022-08-11,29677,Job Loss,None,19257,No
D000372,L012533,C012533,2022-11-27,81381,Business Failure,Partial,0,Yes
D000373,L073140,C073140,2023-07-10,62927,Job Loss,Partial,0,No
D000374,L020851,C020851,2022-11-07,15251,Job Loss,None,0,Yes
D000375,L010721,C010721,2022-10-16,30883,Job Loss,Partial,0,No
D000376,L025528,C025528,2022-09-11,96876,Business Failure,Partial,42543,No
D000377,L004943,C004943,2024-09-12,27299,Medical Emergency,Partial,0,Yes
D000378,L028037,C028037,2022-11-08,26631,Medical Emergency,None,0,Yes
D000379,L051535,C051535,2024-07-30,86953,Medical Emergency,None,34439,No
D000380,L085903,C085903,2021-03-29,9593,Medical Emergency,Full,0,No
D000381,L009565,C009565,2022-12-17,50150,Medical Emergency,None,0,Yes
D000382,L076156,C076156,2023-03-28,21630,Medical Emergency,None,40912,No
D000383,L019129,C019129,2022-07-23,36644,Business Failure,None,0,Yes
